food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_grams,Fat_per_100g,Carbohydrates_per_100g,Sugars_per_100g,Protein_per_100g,Dietary Fiber_per_100g,Sodium_per_100g,Water_per_100g,Calories_100g_494
chicken pork bologna,94,8.6,2.8,3.7,1.2,1.2,0.0,2.9,0.0,24.4,0.3,14.2,0.01,0.094,0.081,0.001,0.041,1.0,0.2,0.081,3.7,0.0,0.2,0.048,54.9,0.056,0.3,4.5,0.042,62.4,45.4,0.0,0.3,71.678,27.2,31.61764705882353,4.411764705882353,0.0,10.661764705882353,0.0,1.1029411764705883,52.20588235294118,344.85294117647055
turkey roll,40,1.9,0.6,0.6,0.5,0.6,0.0,4.9,0.0,14.9,0.1,18.9,0.0,0.038,0.072,0.075,0.013,1.3,0.2,0.089,0.0,0.075,0.009,0.0,8.6,0.088,0.4,4.9,0.085,45.4,72.9,0.049,0.5,16.4,26.4,7.196969696969697,2.272727272727273,0.0,18.560606060606062,0.0,0.37878787878787884,71.5909090909091,148.10606060606062
beef salami cooked,68,5.8,2.6,2.8,0.3,0.5,0.4,3.3,0.0,18.5,0.3,15.6,0.0,0.046,0.036,0.012,0.099,0.8,0.2,0.051,0.0,0.044,0.093,0.082,1.6,0.014,0.6,3.4,0.083,53.3,48.9,0.088,0.5,11.8,25.9,22.393822393822393,1.9305019305019304,1.5444015444015446,12.741312741312742,0.0,1.1583011583011582,60.231660231660236,260.23166023166027
yachtwurst cooked,150,12.7,4.4,0.0,0.0,0.8,0.0,8.3,0.0,35.8,0.5,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,33.0,54.900000000000006,23.132969034608376,1.4571948998178506,0.0,15.1183970856102,0.0,0.9107468123861565,59.38069216757741,274.4990892531876
italian salami,43,3.7,1.3,1.8,0.4,0.1,0.1,2.2,0.0,8.0,0.2,3.5,0.0,0.025,0.024,0.071,0.009,0.6,0.1,0.015,0.0,0.0,0.0,0.0,1.0,0.057,0.2,2.2,0.052,22.9,34.0,0.035,0.4,7.2,9.8,37.755102040816325,1.0204081632653061,1.0204081632653061,22.448979591836736,0.0,2.0408163265306123,35.71428571428571,433.67346938775506
turkey ham,38,1.6,0.1,0.2,0.3,0.3,0.1,5.5,0.0,18.8,0.3,20.2,0.0,0.094,0.096,0.044,0.011,1.0,0.2,0.024,0.0,0.0,0.1,0.0,1.4,0.047,0.4,5.6,0.074,85.1,83.7,0.043,0.7,9.2,28.0,5.714285714285714,1.0714285714285714,0.35714285714285715,19.642857142857142,0.0,1.0714285714285714,72.14285714285714,134.28571428571428
turkey bologna,59,4.5,1.2,1.9,1.1,1.3,0.8,3.2,0.1,21.0,0.3,18.1,0.025,0.046,0.098,0.0,0.085,0.7,0.1,0.004,3.7,0.032,0.1,0.037,34.4,0.04,0.8,4.5,0.086,31.9,37.8,0.059,0.4,48.096,28.300000000000004,15.901060070671374,4.59363957597173,2.8268551236749113,11.307420494699645,0.3533568904593639,1.0600706713780916,63.957597173144876,206.71378091872788
sliced turkey breast,17,0.6,0.1,0.2,0.2,0.4,0.1,2.4,0.0,7.8,0.1,12.2,0.038,0.0,0.084,0.021,0.076,0.087,1.1,0.089,0.006,0.0,0.049,0.007,0.0,2.2,0.023,0.051,3.0,0.025,39.8,59.4,0.097,3.572,15.799999999999999,3.79746835443038,2.5316455696202533,0.6329113924050633,15.18987341772152,0.0,0.6329113924050633,77.21518987341773,105.0632911392405
luncheon meat pork beef,99,9.0,3.2,4.2,1.0,0.7,0.0,3.5,0.0,15.4,0.4,13.8,0.0,0.072,0.011,0.028,0.074,0.8,0.2,0.025,0.0,0.094,0.038,0.058,2.5,0.041,0.2,3.9,0.092,24.1,56.6,0.058,0.5,15.9,27.4,32.846715328467155,2.5547445255474455,0.0,12.773722627737227,0.0,1.4598540145985404,50.36496350364964,356.9343065693431
beef bologna,90,7.8,3.1,3.7,0.4,1.3,0.6,3.3,0.0,17.1,0.3,16.6,0.4,0.043,0.019,0.052,0.031,0.014,0.7,0.1,0.085,4.6,0.083,0.2,0.053,6.3,0.01,0.4,3.9,0.055,46.2,105.3,0.018,12.962,29.900000000000002,26.08695652173913,4.3478260869565215,2.006688963210702,11.036789297658862,0.0,1.003344481605351,55.51839464882943,296.3210702341137
turkey bacon cooked,313,22.9,6.8,8.9,5.6,2.5,0.0,24.3,0.0,80.4,1.9,26.7,0.0,0.04,0.021,0.045,0.2,2.9,0.0,0.3,0.0,0.076,0.8,0.028,7.4,0.1,1.7,23.8,0.0,377.2,323.9,0.092,2.5,58.8,78.3,29.246487867177525,3.1928480204342273,0.0,31.03448275862069,0.0,2.4265644955300125,34.099616858237546,400.1277139208174
ground emu cooked,178,5.1,1.4,2.1,0.7,0.0,0.0,31.0,0.0,94.8,0.025,71.8,0.2,0.0,0.3,0.038,0.014,0.6,9.7,3.4,0.9,0.0,0.0,0.3,0.044,8.7,0.3,5.5,31.6,0.085,293.2,408.8,0.044,37.595,107.925,4.72550382209868,0.0,0.0,28.723650683344914,0.0,0.023164234422052354,66.52768126013436,157.4241371322678
emu fillet cooked,607,9.1,2.3,3.6,1.3,0.0,0.0,123.2,0.0,323.1,0.2,261.7,0.0,1.4,0.05,0.062,2.4,38.7,13.3,3.6,0.0,0.0,0.9,0.0,23.6,0.9,18.0,118.2,0.1,1071.7,1564.2,0.2,12.6,173.9,394.2,2.308472856418062,0.0,0.0,31.25317097919838,0.0,0.05073566717402335,66.38762049720953,145.78893962455606
emu drums cooked,649,8.4,2.7,3.6,1.7,0.0,0.0,134.7,0.0,378.6,0.5,267.5,0.084,1.7,0.042,0.084,2.6,42.3,14.6,3.9,0.0,0.0,1.0,0.0,25.0,1.1,30.2,137.3,0.1,1277.1,1297.9,0.2,21.2,198.375,411.1,2.0432984675261494,0.0,0.0,32.76575042568717,0.0,0.1216249087813184,65.06932619800536,149.45268791048403
ground bison cooked,448,21.6,8.7,8.2,1.0,0.0,0.0,63.6,0.0,177.5,0.2,162.7,0.0,0.3,0.015,0.006,0.7,14.9,0.0,1.0,0.0,0.0,0.5,0.011,35.0,0.4,8.0,57.5,0.0,532.5,882.5,0.006,13.4,128.2,248.1,8.706166868198308,0.0,0.0,25.634824667472795,0.0,0.08061265618702136,65.57839580814188,180.89480048367597
ostrich tip cooked,123,2.2,0.9,0.8,0.4,0.0,0.0,24.2,0.0,72.3,0.086,58.2,0.0,0.2,0.02,0.077,0.2,6.1,1.1,0.5,0.0,0.0,0.2,0.0,5.1,0.1,2.4,21.3,0.013,213.4,307.7,0.019,4.1,33.9,84.686,2.5978319911201377,0.0,0.0,28.576151902321513,0.0,0.10155161419833265,68.72446449236,137.6850955293673
caribou cooked,210,6.4,2.5,2.0,1.0,0.0,0.0,38.0,0.0,141.2,0.004,86.4,0.1,0.4,0.055,0.032,1.1,7.8,2.0,0.5,0.0,0.0,1.2,0.009,6.6,0.4,6.3,31.7,0.049,283.8,323.4,0.073,5.7,57.4,130.804,4.892816733433229,0.0,0.0,29.051099354759792,0.0,0.003058010458395768,66.05302590134858,160.23974801993822
ground ostrich cooked,163,6.6,1.7,2.0,0.7,0.0,0.0,24.3,0.0,77.2,0.099,62.4,0.2,0.0,0.2,0.045,0.044,0.2,6.1,1.1,0.5,0.0,0.033,0.2,0.0,7.4,0.1,3.2,21.4,0.076,208.3,300.4,0.033,31.712,93.399,7.066456814312787,0.0,0.0,26.017409179969807,0.0,0.10599685221469181,66.81013715350271,167.6677480486943
ostrich leg cooked,120,1.6,0.6,0.6,0.3,0.0,0.0,24.7,0.0,62.1,0.016,59.5,0.0,0.2,0.074,0.023,0.3,6.2,1.1,0.5,0.0,0.0,0.2,0.0,5.1,0.1,2.7,21.3,0.035,207.4,299.2,0.05,4.0,34.1,85.816,1.864454181038501,0.0,0.0,28.78251141978186,0.0,0.01864454181038501,69.33438985736925,131.91013330847395
ostrich top loin cooked,132,3.3,1.1,1.1,0.3,0.0,0.0,23.9,0.0,79.1,0.029,57.8,0.1,0.0,0.2,0.082,0.062,0.2,6.0,1.1,0.5,0.0,0.0,0.2,0.046,5.1,0.1,2.8,21.3,0.075,208.3,300.1,0.017,27.982,85.029,3.881028825459549,0.0,0.0,28.108057251055524,0.0,0.034106010890402105,67.97680791259452,147.36148843335803
ostrich strip cooked,139,3.6,1.5,1.5,0.6,0.0,0.0,25.0,0.0,82.5,0.034,56.6,0.0,0.2,0.012,0.081,0.3,6.3,1.2,0.5,0.0,0.0,0.2,0.0,4.3,0.1,4.1,22.1,0.013,215.1,311.1,0.018,4.2,37.0,85.23400000000001,4.223666611915433,0.0,0.0,29.331018138301612,0.0,0.039890184668090196,66.40542506511485,155.33707206044534
veal brain cooked,461,32.6,7.4,5.9,5.1,0.0,0.0,38.9,0.0,10509.0,0.5,260.7,0.0,0.3,0.024,0.084,0.7,8.2,3.4,0.6,44.1,0.0,0.0,0.0,54.2,0.9,5.7,54.2,0.1,1305.2,725.5,0.055,5.5,175.5,332.7,9.798617373008717,0.0,0.0,11.692215208896904,0.0,0.15028554253080853,78.35888187556357,134.95641719266607
veal tongue cooked,515,25.8,11.1,11.8,1.0,0.0,0.0,65.9,0.0,606.9,0.2,163.4,0.0,0.2,0.098,0.016,0.9,3.7,1.9,0.4,15.3,0.0,0.0,0.0,23.0,0.5,5.3,45.9,0.1,423.3,413.1,0.016,11.5,135.3,255.3,10.105757931844888,0.0,0.0,25.812769291030165,0.0,0.07833920877399138,64.00313356835096,194.20289855072465
beef heart cooked,47,1.3,0.4,0.3,0.3,0.057,0.0,8.1,0.0,60.0,0.024,18.6,0.016,0.0,0.062,0.047,0.05,0.3,1.9,0.5,0.048,0.0,0.022,0.089,0.038,1.4,0.2,1.8,5.9,0.03,71.9,62.0,0.015,9.714,28.081,4.629464762650903,0.2029842242085396,0.0,28.845126598055625,0.0,0.08546704177201667,66.23695737331292,157.8576261529148
turkey liver cooked,100,4.3,1.2,0.6,1.1,0.0,0.0,14.3,0.0,343.4,0.083,33.9,5.7,0.1,0.4,0.096,1.4,5.9,2.3,0.5,12.0,0.0,0.083,0.068,10.1,0.6,0.9,13.8,0.2,165.4,81.1,0.022,2.4,47.3,52.583,8.177547876690184,0.0,0.0,27.19510107829527,0.0,0.15784569157332218,64.46950535344122,182.37833520339274
veal thymus cooked,35,0.9,0.3,0.3,0.066,0.0,0.0,6.4,0.0,99.1,0.036,20.8,0.0,0.055,0.052,0.095,0.084,1.0,0.3,0.005,11.2,0.0,0.079,0.0,1.1,0.029,0.4,6.8,0.063,177.4,123.1,0.059,0.6,20.0,28.136000000000003,3.1987489337503554,0.0,0.0,22.74665908444697,0.0,0.12794995735001422,73.92664202445265,119.77537674154108
beef brain cooked,688,55.6,13.1,14.0,8.1,0.0,0.0,44.1,0.0,7002.5,0.6,248.3,0.0,0.5,0.097,0.057,0.9,13.3,2.0,1.4,11.6,0.0,0.0,0.0,31.6,0.8,7.8,52.7,0.1,1354.9,1242.5,0.09,4.7,150.7,348.6,15.949512335054502,0.0,0.0,12.650602409638553,0.0,0.1721170395869191,71.22776821572002,194.14802065404473
beef pancreas cooked,602,38.2,13.1,13.2,7.1,0.0,0.0,60.2,0.0,581.6,0.1,123.4,0.0,0.4,0.093,0.052,1.1,8.8,9.4,0.4,45.1,0.0,0.0,0.0,35.5,0.2,5.8,46.6,0.5,1005.7,546.1,0.1,10.2,184.8,221.9,17.214961694456964,0.0,0.0,27.129337539432175,0.0,0.04506534474988734,55.610635421360975,263.4520054078414
beef tripe cooked,80,3.4,1.2,1.4,0.2,1.7,0.0,10.0,0.0,133.5,0.045,69.4,0.0,0.0,0.038,0.053,0.0,0.4,0.089,0.0,0.0,0.0,0.1,0.0,68.9,0.0,0.6,12.8,0.041,56.1,35.7,0.01,1.5,84.6,84.545,4.021526997456975,2.0107634987284877,0.0,11.82802058075581,0.0,0.05322609261340114,82.08646283044533,91.54887929504997
chicken gizzard cooked,223,3.9,1.0,0.8,0.5,0.0,0.0,44.1,0.0,536.5,0.069,98.5,0.0,0.094,0.074,0.095,0.3,4.5,0.7,0.1,0.0,0.0,0.3,0.0,24.7,0.2,4.6,4.4,0.1,274.1,259.6,0.047,6.4,77.3,146.56900000000002,2.660862801820303,0.0,0.0,30.088217835968038,0.0,0.047076803416820745,67.20384255879482,144.30063656025487
pork pancreas cooked,537,26.5,9.1,9.2,5.0,0.0,0.0,69.8,0.0,771.8,0.1,147.7,0.0,0.2,0.086,0.058,1.6,7.9,11.6,1.1,14.0,0.0,0.0,0.0,39.2,0.3,6.6,56.4,0.5,713.0,411.6,0.2,10.5,156.1,244.09999999999997,10.85620647275707,0.0,0.0,28.594838181073335,0.0,0.04096681687832856,60.50798852929128,212.08521097910696
beef tongue cooked,80,6.3,2.3,2.9,0.2,0.0,0.0,5.5,0.0,37.4,0.029,16.4,0.0,0.042,0.007,0.072,0.025,1.0,0.2,0.067,0.4,0.067,0.074,0.049,1.4,0.048,0.7,4.2,0.03,41.0,52.1,0.065,1.2,14.3,28.229,22.3174749371214,0.0,0.0,19.483509865740906,0.0,0.10273123383754296,58.096283963300145,278.7913138970562
lamb heart cooked,353,15.1,6.0,4.2,1.5,3.7,0.0,47.7,0.0,475.6,0.1,122.6,0.0,0.3,0.006,0.051,2.3,8.3,2.6,0.6,13.4,0.0,0.0,0.0,26.7,1.2,10.5,45.8,0.1,485.1,359.1,0.04,7.0,117.1,189.2,7.980972515856237,1.9556025369978862,0.0,25.21141649048626,0.0,0.052854122621564484,64.79915433403805,180.49682875264273
beef spleen cooked,447,12.9,4.3,3.4,1.0,0.0,0.0,77.3,0.0,1068.8,0.2,215.5,0.0,0.1,0.035,0.06,0.9,17.1,2.7,0.1,154.9,0.0,0.0,0.0,37.0,2.8,121.2,58.5,0.2,939.4,874.7,0.3,8.6,403.3,305.9,4.217064400130762,0.0,0.0,25.269695979078133,0.0,0.06538084341288004,70.44785877737823,139.0323635174894
veal kidneys cooked,300,10.4,3.2,2.3,2.1,0.0,0.0,48.4,0.0,1455.4,0.2,124.5,0.4,0.3,0.056,0.002,3.7,8.5,1.6,0.3,14.7,0.0,0.0,0.0,53.4,0.7,5.6,44.2,0.2,684.5,292.6,0.2,7.8,132.9,183.5,5.667574931880109,0.0,0.0,26.376021798365123,0.0,0.10899182561307902,67.8474114441417,156.51226158038148
chicken heart cooked,268,11.5,3.3,2.9,3.3,0.1,0.0,38.3,0.0,350.9,0.081,94.0,0.033,0.1,0.1,0.034,1.1,4.1,3.8,0.5,2.6,0.0,0.0,0.0,27.6,0.7,13.1,29.0,0.2,288.6,191.4,0.027,10.6,93.286,143.981,7.98716497315618,0.06945360846222766,0.0,26.600732041033194,0.0,0.05625742285440441,65.286391954494,178.5652273563873
lamb tongue cooked,701,51.7,20.0,25.5,3.2,0.0,0.0,55.0,0.0,482.0,0.2,147.5,0.0,0.2,0.082,0.027,1.1,9.4,0.9,0.4,17.9,0.0,0.0,0.0,25.5,0.5,6.7,40.8,0.076,341.7,402.9,0.072,7.6,156.8,254.4,20.322327044025158,0.0,0.0,21.61949685534591,0.0,0.07861635220125787,57.97955974842767,269.37893081761007
veal heart cooked,368,13.4,3.6,2.8,3.5,0.3,0.0,57.7,0.0,348.5,0.1,123.1,0.0,0.7,0.029,0.048,1.8,9.7,3.3,0.4,19.8,0.0,0.0,0.0,15.8,0.9,8.6,35.6,0.1,495.0,394.0,0.1,4.4,115.6,194.6,6.885919835560124,0.1541623843782117,0.0,29.650565262076057,0.0,0.051387461459403906,63.25796505652621,181.19218910585818
chicken liver cooked,76,2.8,0.9,0.6,0.6,0.5,0.0,11.3,0.0,248.2,0.079,28.7,0.006,1.9,0.1,0.2,0.015,1.0,6.1,3.7,0.4,1.2,0.0,0.3,0.0,4.4,0.2,5.7,11.9,0.2,194.5,138.6,0.052,15.238,43.379000000000005,6.45473616265935,1.1526314576177412,0.0,26.04947094216095,0.0,0.1821157703036031,66.16104566725835,166.9010350630489
lamb pancreas cooked,541,34.9,15.8,12.6,1.7,0.0,0.0,52.7,0.0,924.0,0.1,137.8,0.0,0.022,0.089,0.026,0.5,5.9,2.0,0.1,46.2,0.0,0.0,0.0,27.7,0.2,4.9,43.9,0.049,995.6,672.2,0.1,6.2,166.4,225.5,15.47671840354767,0.0,0.0,23.37028824833703,0.0,0.044345898004434586,61.108647450110865,232.77161862527714
veal spleen cooked,445,10.0,3.3,2.7,0.7,0.0,0.0,83.1,0.0,1542.2,0.2,245.8,0.0,0.2,0.022,0.051,1.0,18.4,0.0,0.2,138.0,0.0,0.0,0.0,24.2,3.2,25.4,48.3,0.3,1076.4,741.8,0.3,6.6,280.7,339.1,2.948982601002654,0.0,0.0,24.506045414332053,0.0,0.058979652020053085,72.48599233264524,124.56502506635209
lamb liver cooked,739,29.6,11.5,6.2,4.4,8.5,0.0,102.7,0.0,1683.4,0.2,190.4,25.2,0.8,0.2,0.3,13.5,40.8,13.3,1.6,13.4,0.0,0.0,0.0,26.9,23.8,27.8,73.9,1.7,1411.2,742.6,0.4,26.5,234.1,331.4,8.931804465902234,2.5648762824381413,0.0,30.98974049487025,0.0,0.0603500301750151,57.45322872661437,214.6047073023537
turkey gizzard cooked,70,2.1,0.5,0.4,0.3,0.0,0.0,11.9,0.0,203.4,0.031,31.1,0.091,0.03,0.045,0.067,0.2,2.9,0.2,0.027,2.8,0.0,0.025,0.0,7.7,0.1,1.7,9.5,0.063,84.2,86.9,0.033,1.8,26.231,45.131,4.653120914670626,0.0,0.0,26.367685183133542,0.0,0.06868892778799496,68.91050497440784,147.3488289645698
lamp spleen cooked,460,14.1,4.7,3.7,1.0,0.0,0.0,78.1,0.0,1135.8,0.2,195.8,0.0,0.2,0.062,0.028,0.9,17.3,0.0,0.2,76.7,0.0,0.0,0.0,38.4,0.4,114.1,62.0,0.2,1006.0,731.6,0.1,11.6,321.4,288.2,4.892435808466343,0.0,0.0,27.099236641221374,0.0,0.06939625260235949,67.93893129770993,152.4288688410826
turkey heart cooked,35,1.5,0.4,0.3,0.4,0.0,0.0,5.0,0.0,71.8,0.046,13.4,0.085,0.07,0.091,0.089,0.3,1.6,0.3,0.1,0.6,0.0,0.013,0.0,4.2,0.2,1.4,5.6,0.017,48.2,40.6,0.001,0.9,12.759,19.946,7.520304823022158,0.0,0.0,25.0676827434072,0.0,0.2306226812393462,67.18138975233128,167.95347438082823
beef liver cooked,130,3.6,1.2,0.4,0.4,3.5,0.0,19.8,0.0,269.3,0.068,40.0,0.2,6.4,0.1,0.2,0.01,2.3,11.9,4.8,0.7,1.3,0.034,0.3,0.07,4.1,9.7,4.4,14.3,0.2,338.0,239.4,0.023,37.539,66.968,5.375701827738622,5.226376776968103,0.0,29.56636005256242,0.0,0.10154103452395173,59.730020308206896,187.5522637677697
lamb lungs cooked,431,11.8,4.0,3.0,1.6,0.0,0.0,75.7,0.0,1082.0,0.3,288.9,0.1,0.1,0.012,0.1,0.5,9.3,0.0,0.2,106.7,0.0,0.0,0.0,45.7,0.9,17.4,41.9,0.064,716.3,483.9,0.095,7.4,257.4,376.7,3.132466153437749,0.0,0.0,20.095566764003188,0.0,0.07963897000265463,76.69232811255641,108.5744624369525
pork brain cooked,527,36.3,8.2,6.6,5.6,0.0,0.0,46.4,0.0,9748.6,0.3,289.9,0.0,0.3,0.063,0.031,0.9,12.7,7.0,0.5,53.5,0.0,0.0,0.0,34.4,1.0,7.0,45.8,0.3,840.4,744.9,0.003,5.7,177.6,372.9,9.734513274336283,0.0,0.0,12.443014212925718,0.0,0.08045052292839903,77.7420219898096,137.38267632072942
goose liver,125,4.0,1.5,0.8,0.2,5.9,0.0,15.4,0.0,484.1,0.1,67.5,8.8,0.5,0.7,0.022,0.8,6.1,5.8,0.7,4.2,0.0,0.0,0.0,40.4,7.1,28.7,22.6,0.0,245.3,216.2,0.067,2.9,107.4,92.9,4.3057050592034445,6.350914962325081,0.0,16.576964477933263,0.0,0.1076426264800861,72.65877287405812,130.46286329386436
pork kidneys cooked,211,6.6,2.1,2.2,0.5,0.0,0.0,35.6,0.0,672.0,0.1,96.2,0.1,0.6,0.098,0.028,2.2,8.1,4.0,0.6,14.8,0.0,0.0,0.0,18.2,1.0,7.4,25.2,0.2,336.0,200.2,0.4,5.8,82.7,138.5,4.765342960288808,0.0,0.0,25.703971119133573,0.0,0.07220216606498196,69.45848375451263,145.70397111913357
lamb brain cooked,503,35.3,9.0,6.4,3.6,0.0,0.0,43.5,0.0,7089.2,0.5,262.8,0.0,0.4,0.007,0.088,0.8,8.6,3.4,0.4,41.6,0.0,0.0,0.0,41.6,0.7,5.8,48.6,0.2,1169.4,711.4,0.066,4.7,167.8,342.1,10.318620286465945,0.0,0.0,12.715580239695996,0.0,0.14615609470914936,76.8196433791289,143.72990353697747
pork heart cooked,215,7.3,1.9,1.7,1.9,0.6,0.0,34.2,0.0,320.5,0.053,98.7,0.017,0.8,0.023,0.0,2.5,8.8,3.6,0.6,2.9,0.0,0.0,0.0,10.2,0.7,8.5,34.8,0.1,258.1,298.7,0.082,4.5,63.745,140.853,5.182708213527578,0.42597601755021186,0.0,24.28063300036208,0.0,0.037627881550268714,70.07305488700986,145.47080999339738
lamb kidneys cooked,349,9.2,3.1,2.0,1.7,2.5,0.0,60.3,0.0,1440.8,0.4,179.6,0.3,0.9,0.2,0.2,5.3,15.3,5.2,0.3,30.6,0.0,0.0,0.0,45.9,0.9,31.6,51.0,0.4,739.5,453.9,0.6,9.7,180.4,252.0,3.6507936507936503,0.992063492063492,0.0,23.928571428571427,0.0,0.15873015873015872,71.26984126984127,132.53968253968253
beef lungs cooked,364,11.2,3.8,2.9,1.5,0.0,0.0,61.8,0.0,839.3,0.3,231.5,0.095,0.1,0.062,0.09,0.4,7.6,1.9,0.066,99.1,0.0,0.0,0.0,33.3,0.7,16.4,30.3,0.015,539.3,524.2,0.2,5.0,221.858,304.8,3.674540682414698,0.0,0.0,20.2755905511811,0.0,0.09842519685039369,75.9514435695538,114.17322834645668
veal pancreas cooked,614,35.0,12.0,12.1,6.5,0.0,0.0,69.8,0.0,0.0,0.2,133.7,0.0,0.4,0.068,0.082,1.2,10.0,0.0,0.5,14.4,0.0,0.0,0.0,43.2,0.2,5.7,57.6,0.6,1228.8,667.2,0.098,12.5,168.1,238.7,14.66275659824047,0.0,0.0,29.241726015919568,0.0,0.08378718056137412,56.01173020527859,248.9317134478425
pork liver cooked,584,15.6,5.0,2.2,3.7,13.3,0.0,92.1,0.0,1256.7,0.2,227.7,19.1,0.9,0.6,0.071,7.8,29.9,16.9,2.0,83.5,0.0,0.0,0.0,35.4,2.2,63.4,49.6,1.1,853.1,531.0,0.2,23.8,322.4,348.9,4.471195184866724,3.811980510174836,0.0,26.39724849527085,0.0,0.057323015190599035,65.26225279449699,161.07767268558325
beef kidneys cooked,45,1.3,0.3,0.2,0.2,0.0,0.0,7.7,0.0,202.6,0.029,18.9,0.0,0.001,0.073,0.013,0.8,1.1,0.4,0.1,0.0,0.095,0.099,0.0,5.4,0.2,1.6,3.4,0.007,86.0,38.2,0.049,0.8,16.0,27.929,4.654660030792367,0.0,0.0,27.569909413154786,0.0,0.10383472376382973,67.67159583228903,152.17157792975044
turkey giblets cooked,164,6.3,1.6,1.0,1.5,0.0,0.0,25.1,0.0,495.0,0.1,63.3,0.095,4.4,0.2,0.3,0.063,1.5,8.2,2.2,0.5,0.0,0.0,0.1,0.014,17.1,0.7,3.2,23.8,0.2,236.6,168.2,0.072,32.643,94.8,6.645569620253164,0.0,0.0,26.476793248945153,0.0,0.10548523206751056,66.77215189873418,165.71729957805908
veal liver cooked,154,5.0,1.6,0.9,0.9,3.0,0.0,22.7,0.0,408.8,0.046,47.9,0.2,16.9,0.1,0.3,0.09,2.3,10.5,5.2,0.7,0.9,0.0,0.5,0.043,4.8,12.0,4.1,16.0,0.2,368.0,263.2,0.043,43.638,78.646,6.3576024209750015,3.814561452585001,0.0,28.86351499122651,0.0,0.05848994227297002,60.90583119294052,187.93072756402105
pork lungs cooked,297,9.3,3.3,2.1,1.1,0.0,0.0,49.8,0.0,1161.0,0.2,240.0,0.0,0.2,0.069,0.049,1.0,4.1,2.0,0.2,23.7,0.0,0.0,0.0,24.0,0.2,49.2,36.0,0.029,558.0,453.0,0.085,7.4,156.0,299.3,3.1072502505846975,0.0,0.0,16.6388239224858,0.0,0.06682258603407952,80.18710324089542,94.52054794520546
veal lungs cooked,312,7.9,2.7,2.0,1.1,0.0,0.0,56.2,0.0,789.0,0.2,232.8,0.0,0.072,0.032,0.016,0.4,6.9,0.0,0.2,102.0,0.0,0.0,0.0,21.0,0.7,10.8,24.0,0.082,696.0,426.0,0.067,3.6,197.9,297.1,2.6590373611578593,0.0,0.0,18.916189835072366,0.0,0.06731740154830024,78.35745540222148,99.5960955907102
beef thymus cooked,1215,95.2,32.8,32.9,17.8,0.0,0.0,83.2,0.0,1120.1,0.4,201.3,0.0,0.3,0.058,0.092,0.9,7.0,7.5,0.3,115.1,0.0,0.0,0.0,38.1,0.2,5.7,38.1,0.4,1386.8,1649.7,0.029,8.4,337.3,380.1,25.04604051565377,0.0,0.0,21.888976585109184,0.0,0.10523546435148645,52.95974743488555,312.9702709813207
ham,46,2.5,0.1,1.2,0.2,1.0,0.3,4.6,0.4,16.0,0.2,18.8,0.0,0.2,0.079,0.074,0.094,0.8,0.1,0.041,1.1,0.08,0.076,0.0,6.7,0.002,0.3,6.2,0.2,42.8,80.4,0.063,0.4,16.6,27.799999999999997,8.992805755395684,3.597122302158274,1.079136690647482,16.546762589928058,1.4388489208633095,0.7194244604316548,67.62589928057555,161.5107913669065
pork meat cooked,283,14.1,4.4,6.8,2.1,0.0,0.0,14.1,0.0,112.6,0.7,79.2,0.02,0.8,0.0,0.044,0.3,11.0,0.7,0.7,0.0,0.095,0.0,0.0,10.7,0.082,0.7,41.5,0.077,369.8,615.1,0.048,2.6,39.657,108.1,13.043478260869565,0.0,0.0,13.043478260869565,0.0,0.6475485661424607,73.26549491211841,169.56521739130434
bacon roasted,43,3.3,1.1,1.5,0.4,0.1,0.0,3.0,0.0,8.8,0.034,1.0,0.0,0.037,0.05,0.007,0.081,0.015,0.9,0.051,0.09,0.0,0.002,0.039,0.097,0.9,0.096,0.1,2.6,0.003,42.6,45.2,0.09,6.516,7.434,44.39063761097659,1.3451708366962605,0.0,40.35512510088781,0.0,0.45735808447672854,13.451708366962603,566.3169222491256
pork spareribs cooked,703,53.6,19.7,23.9,4.8,0.0,0.0,51.4,0.0,214.2,0.2,71.5,0.065,0.7,0.022,0.016,0.7,9.7,1.3,0.6,0.0,0.043,0.6,0.0,83.2,0.3,3.3,42.5,0.083,462.0,566.4,0.092,8.1,191.598,176.7,30.33389926428976,0.0,0.0,29.088851160158463,0.0,0.11318619128466327,40.46406338426712,389.36049801924173
pork stomach cooked,44,2.1,0.8,0.6,0.2,0.029,0.0,6.1,0.0,89.4,0.035,20.0,0.0,0.08,0.09,0.067,0.05,0.4,0.2,0.038,0.0,0.0,0.087,0.0,4.2,0.048,0.3,4.2,0.015,36.5,24.1,0.077,0.8,12.779,28.264,7.429946221341637,0.10260401924709879,0.0,21.58222473818285,0.0,0.12383243702236062,70.76139258420606,153.60883102179451
